"Nom","Adresse 1","Adresse 2","Code postal","Ville","TÈlÈphone 1","TÈlÈphone 2","Fax","NAF","SIRET","Effectif","Responsable","ActivitÈ"
"TROC","","5 MONTEE COMMDT DE ROBIEN","13011","MARSEILLE","0491896079","","0491443761","4779Z","40097003400015","3 ‡ 5","CHEVRET CHRISTOPHE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LA BOUTIQUE EMMAUS  SACRE DRESSING","","31 RUE FONTAINES","56100","LORIENT","0297377618","","","4779Z","50223507000047","50 ‡ 99","EMMAUS ACTION OUEST","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LA BOUTIQUE EMMAUS  SACRE DRESSING","","5 RUE SIMONE SIGNORET","56100","LORIENT","0297300038","","","4779Z","50223507000070","50 ‡ 99","EMMAUS ACTION OUEST","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LA BOUTIQUE EMMAUS  SACRE DRESSING","","25 RUE ALBERT DE MUN","56300","PONTIVY","0297279271","","","4779Z","50223507000062","50 ‡ 99","EMMAUS ACTION OUEST","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LA VIE EST BELT","","87 RUE FONTENOY","59100","ROUBAIX","0750928762","","","4791A","84307161400013","3 ‡ 5","MOTTE HUBERT","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"LE COLONEL","","31 RUE CLEF","59800","LILLE","0320749835","","","4791B","80831107000045","20 ‡ 49","YON VALENTIN","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LP DIVERTISSEMENTS / LINDER PARTNER","","9 B","67117","QUATZENHEIM","0369576436","","","4791B","51427496800023","6 ‡ 9","LINDER HENRI","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"SMART","","46 BOULEVARD BROTTEAUX","69006","LYON","0478245493","","","4791A","33872374500018","10 ‡ 19","PCMS","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"L'ATELIER 815","ZAE LA BARONNIE","80 RUE CHALET","73330","LE PONT DE BEAUVOISIN","0987110059","","","4779Z","78958160000077","20 ‡ 49","TRI-VALLEES","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"L'ATELIER 815","","913 AVENUE GEORGES CLEMENCEAU","74300","CLUSES","0982673128","","","4779Z","78958160000069","20 ‡ 49","TRI-VALLEES","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"BAMYAN","","51 RUE ST LOUIS EN L'ILE","75004","PARIS","0146336966","","","4779Z","33896633600053","3 ‡ 5","NOURI HAFIZULLAH","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"BAMYAN","","72 RUE ST LOUIS EN L'ILE","75004","PARIS","0143293950","","","4779Z","33896633600046","3 ‡ 5","NOURI HAFIZULLAH","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"MAISON BALZAC","","12 RUE MARTEL","75010","PARIS","0145882237","","","4791A","80150487900041","20 ‡ 49","Mace de Gastines VICTORIEN","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"MES CHAUSSETTES ROUGES","","9 RUE CESAR FRANCK","75015","PARIS","0176539620","","","4791B","50525063900026","3 ‡ 5","METZGER VINCENT","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"LE CLOSET","","279 RUE INNOVATION","77550","MOISSY CRAMAYEL","0977550193","","","4791A","79968424600041","6 ‡ 9","RFI4","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"LINGERIE & BIKINIS STORY","","165 ROUTE MOUTONNE","83320","CARQUEIRANNE","0423360010","","","4791A","54003014500077","6 ‡ 9","HAMADOU HACHMI","VENTE A DISTANCE SUR CATALOGUE GENERAL"
"SALSA PROD","","1 Bis RUE PIERRE ET MARIE CURIE","92140","CLAMART","0344737737","","","4791B","53924596900040","3 ‡ 5","SALSA PROD","VENTE A DISTANCE SUR CATALOGUE SPECIALISE"
"JEAN YVES BUHARD","","RESIDENCE CHALEY 1726 ROUTE MONTPREVAL","01960","ST ANDRE SUR VIEUX JONC","0474527253","","","4779Z","30873400300020","3 ‡ 5","BUHARD JEAN","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"MADEMOISELLE","","41 RUE FRANCE","06000","NICE","0688542220","","","4779Z","52320747000015","3 ‡ 5","LOUIS SEPHORA","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"METAYER MERMOZ MAISON DE VENTES AUX ENCHERES","","7 BOULEVARD ALBERT 1ER","06600","ANTIBES","0493676379","","","4779Z","79266300700047","10 ‡ 19","Metayer PIERRE-GUILHEM","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"COTE TROC","","ZA ARBRE BLANC","09500","MIREPOIX","0561686818","","","4779Z","42954469500019","3 ‡ 5","BERMEJO BRICE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"ANTIQUITES DECORATION LE VOLTAIRE","","25 RUE VOLTAIRE","11100","NARBONNE","0468411512","","","4779Z","44002111100016","3 ‡ 5","BERTRAND ROGER","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"A L'HORLOGE PENCHEE","","59 AVENUE PIERRE MENDES FRANCE","14120","MONDEVILLE","0231843352","","","4779Z","31710054300014","3 ‡ 5","MARCHAND PIERRE-ANTOINE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"A LA BELLE EPOQUE","","68 RUE ST JEAN","14000","CAEN","0231856337","","","4779Z","39533411300010","3 ‡ 5","MENARD CAROLINE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LA BOUTIQUE SARL","","4 RUE FAUBOURG BRETONNIERE","21200","BEAUNE","0380229618","","","4779Z","39788729000021","3 ‡ 5","GIRARD JEAN-LUC","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"BROCANTE & ANTIQUITES CALLAC","","53 ROUTE CARHAIX","22160","CALLAC","0296459895","","","4779Z","83511339000024","3 ‡ 5","HERHOLDT ANDRE","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"LES PUCES DINANNAISES","ZI DE DINAN","14 BOULEVARD PREVAL","22100","QUEVERT","0296851922","","","4779Z","42464817800012","3 ‡ 5","GLATRE SABRINA","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
"TROC AND STOCK","ZI ST CEZAIRE","192 AVENUE PAVLOV","30900","NIMES","0466232190","","","4779Z","79518590900020","3 ‡ 5","RODET VINCENT","COMMERCE DE DETAIL DE BIENS D'OCCASION EN MAGASIN"
